area,circularity,extent,perimeter,solidity
527,0.42862,0.60297,124.3,0.78074
291,0.31266,0.59877,108.15,0.8845
573,0.32199,0.50087,149.54,0.68214
536,0.13738,0.19648,221.42,0.33967
553,0.31874,0.53173,147.66,0.69912
1286,0.65044,0.49462,157.62,0.87364
490,0.35709,0.29915,131.31,0.69602
819,0.70717,0.72995,120.64,0.92438
511,0.33773,0.29034,137.89,0.69054
791,1.0015,0.79738,99.623,0.97654
176,0.30653,0.68217,84.942,0.93122
769,0.99755,0.75171,98.424,0.97713
2019,0.12712,0.44987,446.75,0.73073
751,1.0634,0.78148,94.206,0.9817
1003,0.36038,0.30256,187.01,0.68231
583,0.14637,0.14014,223.72,0.34806
979,0.38934,0.36381,177.76,0.69383
239,0.32781,0.6224,95.718,0.87226
798,0.94013,0.7793,103.28,0.96845
548,0.14381,0.20319,218.83,0.35287
532,0.14032,0.19955,218.27,0.34345
672,0.14194,0.23497,243.91,0.48241
233,0.34884,0.63315,91.616,0.94332
977,0.38599,0.44389,178.35,0.68658
514,0.37629,0.34176,131.02,0.72702
518,0.40619,0.36325,126.59,0.72753
555,0.34524,0.51821,142.13,0.71798
558,0.15985,0.14308,209.44,0.36978
515,0.39918,0.34986,127.33,0.71528
555,0.3452,0.51821,142.14,0.70431
1282,0.44856,0.66632,189.51,0.83736
293,0.32765,0.61426,106.01,0.89877
556,0.39257,0.33154,133.41,0.6924
506,0.35124,0.35484,134.55,0.70083
939,0.39136,0.43272,173.64,0.69814
542,0.36155,0.37639,137.25,0.68434
517,0.36768,0.36667,132.93,0.6921
932,0.38963,0.42949,173.38,0.70023
805,0.94823,0.78613,103.29,0.97576
513,0.41469,0.36383,124.68,0.71748
932,0.39183,0.44381,172.89,0.71145
562,0.13884,0.12165,225.53,0.34123
517,0.41737,0.36667,124.76,0.7131
935,0.39661,0.43712,172.12,0.69724
564,0.14107,0.13506,224.14,0.34265
751,0.99889,0.78148,97.2,0.97154
928,0.3915,0.44831,172.59,0.70948
556,0.13953,0.13314,223.77,0.33882
1215,0.67824,0.58781,150.04,0.86972
544,0.1503,0.21333,213.27,0.36315
556,0.14037,0.13469,223.1,0.33985
1180,0.73445,0.68051,142.09,0.8806
971,0.38579,0.37577,177.84,0.69407
547,0.14229,0.12362,219.79,0.35109
940,0.37874,0.31085,176.6,0.68364
1341,0.45122,0.50604,193.25,0.84659
305,0.34107,0.63941,106.01,0.90237
758,0.82392,0.76411,107.52,0.94632
785,0.99758,0.79133,99.441,0.97274
512,0.43337,0.32737,121.85,0.72521
1284,0.62424,0.74825,160.77,0.85316
547,0.33692,0.30389,142.84,0.7141
540,0.43908,0.54711,124.32,0.75419
525,0.37285,0.30488,133.02,0.68538
902,0.40494,0.34961,167.31,0.71474
508,0.30785,0.48381,144,0.68649
1197,0.73593,0.77226,142.97,0.8795
523,0.34845,0.30372,137.34,0.68455
543,0.14574,0.15083,216.38,0.357
1164,0.089425,0.24,404.44,0.44804
1214,0.72974,0.70012,144.59,0.86963
540,0.14646,0.15341,215.25,0.35738
2170,0.22322,0.63506,349.52,0.82415
820,0.81345,0.77652,112.55,0.95794
1219,0.65603,0.703,152.81,0.85185
569,0.30496,0.42911,153.12,0.65933
265,0.10695,0.35053,176.45,0.55208
