Area,Perimetro,Metrica
6051,436.43,0.39921
6048,425.61,0.41957
5910,430.43,0.40085
5880,415.46,0.42808
5990,448.09,0.37489
5843,424.78,0.40693
5852,423.36,0.41029
5897,429.12,0.40242
5842,437.36,0.38379
5840,425.46,0.40541
5786,423.12,0.40613
5794,422.19,0.40848
5779,426.19,0.39981
5759,427.95,0.39516
5804,440.19,0.3764
5795,434.88,0.38506
5749,438.78,0.37525
5787,432.29,0.38914
5815,433.26,0.38928
5782,436.43,0.38146
5702,432.19,0.38361
5712,455.12,0.34653
5854,449.36,0.36431
5853,443.95,0.37318
5779,406.39,0.43972
5826,439.36,0.37926
5817,445.95,0.36757
5902,421.12,0.41821
5713,438.78,0.3729
5824,422.39,0.4102
5739,404.98,0.43973
5784,440.78,0.37411
5718,424.15,0.39941
5806,422.05,0.4096
5731,429.12,0.3911
5676,405.71,0.43334
5744,441.71,0.36996
5731,428.63,0.39198
5714,413.56,0.41982
5768,408.39,0.43459
5711,395.56,0.45866
5862,412.98,0.43192
5846,422.05,0.41242
5812,422.88,0.40842
5824,415.46,0.424
5864,418.88,0.41998
5854,409.22,0.43929
5847,418.29,0.41994
5822,424.29,0.4064
5722,423.95,0.40007
5765,419.95,0.41079
5837,425.36,0.4054
5802,447.36,0.36431
5751,409.71,0.43054
5809,404.98,0.44509
5787,414.63,0.42299
5791,411.56,0.42963
5778,407.22,0.43785
5299,382.98,0.454
6056,416.05,0.43965
5988,398.98,0.47271
5962,411.71,0.44201
5976,406.05,0.45547
5959,406.53,0.4531
5993,436.78,0.39476
6055,416.88,0.43783
6006,407.56,0.45436
6020,428.88,0.41128
6066,420.53,0.43103
6086,411.22,0.45226
6053,414.88,0.44192
5993,421.95,0.423
6045,430.29,0.41028
6020,415.71,0.43776
6045,431.22,0.40851
5955,424.29,0.41568
6073,429.71,0.41331
6035,419.71,0.43052
6095,430.78,0.41274
6140,454.58,0.37339
6065,424.05,0.42385
6048,422.05,0.42667
7059,418.68,0.50605
7142,419.26,0.51057
7176,420.19,0.51074
7179,426.78,0.4953
7191,415.26,0.52403
7036,419.02,0.50358
7003,409.02,0.52602
7004,417.85,0.5041
7007,400.43,0.54914
6994,405.02,0.53578
7017,391.02,0.57672
7075,426.33,0.48915
7037,421.5,0.49773
7175,415.85,0.52139
7174,420.92,0.50883
7198,423.5,0.50432
7149,422.19,0.50401
7170,425.5,0.49765
7147,430.09,0.48553
7137,434.48,0.47511
7184,432.92,0.48169
7156,421.75,0.50556
7158,437.4,0.47015
7153,449.06,0.44575
7173,445.65,0.45387
7155,440.82,0.4627
7163,446.23,0.45205
7153,458.37,0.42782
7096,462.72,0.41648
7093,452.72,0.4349
7143,336.63,0.79209
7128,332.39,0.81073
7079,459.55,0.42123
7098,463.2,0.41572
7137,335.81,0.79533
7108,334.63,0.79766
7104,330.39,0.81781
7100,340.63,0.76894
7073,332.39,0.80448
6299,410.68,0.46933
6334,441.5,0.40834
6252,406.78,0.47481
6251,408.19,0.47145
6309,406.78,0.47914
6281,403.12,0.4857
6277,407.95,0.47397
6260,401.12,0.48892
6157,403.36,0.47554
6117,416.19,0.44378
6066,418.78,0.43466
6130,427.02,0.42245
6176,399.22,0.48696
6136,401.46,0.47841
6163,403.12,0.47658
6183,411.36,0.45916
6226,398.53,0.49259
6266,414.19,0.45899
6159,409.36,0.46185
6100,389.81,0.50448
6244,399.12,0.49257
6237,398.78,0.49286
6395,415.85,0.46471
6459,437.16,0.42471
6469,433.85,0.43189
6451,424.68,0.44949
6453,428.68,0.44128
6486,419.85,0.46238
6539,418.19,0.46986
6438,433.5,0.4305
6529,430.92,0.44184
6518,415.85,0.47365
6815,432.09,0.4587
6806,429.02,0.46467
6822,428.68,0.46651
6841,429.61,0.46579
6859,425.5,0.47606
6849,412.43,0.50597
6854,409.61,0.51336
6859,417.26,0.49505
6878,402.19,0.53433
6860,396.53,0.54824
7104,415.02,0.51829
