Area,Perimetro,Metrica
4603,295.28,0.66341
4604,294.94,0.6651
4618,299.18,0.64834
4634,300.35,0.64552
4615,296.35,0.66034
4615,299.18,0.64792
4617,297.76,0.65437
4609,299.42,0.64603
4637,302.01,0.63887
4638,298.35,0.65477
4624,298.01,0.6543
4623,296.84,0.65933
4636,294.59,0.67129
4656,301.76,0.64252
4660,298.94,0.6553
4669,300.94,0.64787
4692,304.35,0.63653
4717,299.87,0.65921
4718,296.69,0.67352
4729,297.87,0.66979
4741,295.87,0.6806
4742,295.28,0.68345
4754,296.11,0.68135
4900,298.69,0.69017
4859,298.79,0.68393
4846,300.11,0.67614
4821,298.35,0.6806
4815,296.94,0.68625
4768,298.94,0.67049
4766,300.01,0.66543
4764,298.59,0.67146
4905,301.28,0.67906
4852,301.52,0.67065
4835,296.35,0.69182
4827,297.18,0.68683
4815,297.52,0.68355
4766,300.01,0.66543
4774,299.42,0.66916
4770,298.59,0.67231
4736,297.52,0.67233
4727,297.28,0.67215
4714,296.35,0.67451
4721,297.42,0.67066
4707,298.49,0.66388
4693,298.01,0.66406
4688,295.76,0.67345
4686,298.49,0.66091
4684,297.42,0.6654
4680,300.94,0.64939
4644,297.42,0.65972
4639,297.18,0.66008
4641,298.84,0.65307
4633,300.59,0.64434
4619,297.76,0.65465
4610,294.84,0.66642
4603,294.01,0.66917
4602,303.76,0.62673
4586,299.42,0.6428
4576,294.84,0.66151
4583,295.42,0.6599
4592,294.94,0.66337
4588,296.94,0.65389
4579,296.11,0.65627
4576,299.52,0.64097
4582,298.94,0.64433
4580,294.94,0.66164
4572,293.87,0.6653
4583,293.52,0.66847
4589,295.52,0.66031
4583,296.69,0.65425
4585,295.52,0.65974
4581,298.11,0.64777
4576,296.69,0.65325
4583,297.04,0.65274
4574,294.69,0.66186
4577,294.94,0.6612
4573,298.35,0.64559
4572,296.69,0.65268
4583,297.28,0.65167
4587,297.28,0.65224
4585,298.69,0.6458
4598,298.11,0.65018
4586,293.28,0.67001
4466,290.69,0.66414
4469,290.11,0.66727
4460,290.11,0.66593
4464,291.52,0.66007
4474,289.87,0.66914
4482,291.28,0.66384
4510,292.45,0.66264
4512,291.62,0.66671
4510,292.45,0.66264
4446,290.11,0.66384
4415,291.18,0.65437
4407,290.45,0.65646
4412,291.87,0.65085
4410,291.62,0.65164
4305,291.28,0.63762
4311,292.69,0.63236
4304,293.52,0.62777
4311,290.69,0.64109
4308,289.87,0.64431
4435,290.11,0.66219
4309,289.38,0.64662
4309,288.79,0.64925
4316,292.69,0.63309
4315,295.28,0.62191
4318,293.87,0.62834
4310,292.21,0.63431
4306,290.79,0.6399
4302,294.21,0.62456
4386,295.62,0.63067
4544,291.76,0.67078
4536,295.18,0.6542
4521,294.84,0.65356
4515,295.18,0.65117
4514,296.94,0.64335
4473,292.69,0.65612
4501,294.94,0.65022
4500,296.11,0.64495
4494,296.94,0.6405
4471,293.18,0.65366
4471,296.01,0.64122
4461,298.35,0.62978
4530,297.38,0.6437
4539,295.04,0.65527
4447,290.21,0.66353
4554,291.87,0.6718
4576,295.28,0.65952
4441,289.28,0.66689
4474,290.11,0.66802
4471,290.69,0.66488
4472,292.69,0.65597
4572,302.59,0.62748
4467,291.52,0.66052
4459,292.11,0.65669
4464,290.94,0.66273
4477,290.35,0.66735
4479,290.11,0.66876
4465,290.11,0.66667
4463,289.52,0.66907
4463,290.69,0.66369
4449,291.52,0.65785
4429,290.35,0.66019
4541,293.76,0.66125
4534,295.76,0.65133
4518,294.25,0.65573
4516,297.18,0.64258
4509,296.35,0.64518
4501,295.52,0.64765
4490,295.52,0.64607
4478,295.52,0.64434
4463,292.94,0.65357
4542,303.76,0.61856
4469,292.11,0.65816
4569,301.76,0.63051
4551,299.52,0.63747
4543,300.11,0.63387
4497,302.11,0.61917
4535,306.11,0.60819
4459,288.11,0.67505
4478,291.52,0.66214
4483,293.76,0.6528
4475,292.35,0.65795
