Area,Perimetro,Metrica
6783,310.11,0.88635
6903,312.69,0.88718
6906,313.28,0.88425
6476,307.52,0.86053
6905,313.28,0.88412
6476,308.11,0.85726
6488,308.69,0.85559
6487,308.69,0.85546
6486,307.52,0.86186
6494,307.52,0.86292
6495,307.52,0.86305
6352,306.45,0.84996
6357,306.45,0.85063
6366,306.11,0.85374
6373,306.11,0.85468
6384,305.52,0.85945
6392,307.28,0.85071
6404,306.69,0.85556
6413,307.28,0.8535
6420,306.69,0.8577
6433,307.28,0.85616
6444,307.52,0.85628
6445,306.94,0.85968
6459,307.52,0.85827
6471,309.87,0.84691
6901,313.28,0.88361
6483,309.52,0.85036
6512,309.76,0.85283
6384,307.18,0.8502
6402,308.94,0.84292
6433,308.94,0.84701
6457,310.11,0.84375
6473,310.11,0.84584
6490,309.87,0.84939
6517,310.11,0.85159
6564,309.52,0.86099
6855,313.42,0.87692
6877,314.01,0.87646
6907,314.59,0.877
6778,311.28,0.87905
6850,310.49,0.89289
6833,310.49,0.89068
6815,309.91,0.89169
6782,309.32,0.89074
6812,310.01,0.89072
6805,310.01,0.8898
6748,309.42,0.8857
6725,308.01,0.8908
6657,309.18,0.87512
6633,307.18,0.88336
6742,309.52,0.88433
6734,310.69,0.87664
6691,310.11,0.87433
6775,312.45,0.87208
6684,310.69,0.87013
6663,308.11,0.88201
6654,309.87,0.87086
6792,311.28,0.88086
6792,312.45,0.87427
6786,312.45,0.8735
6781,311.87,0.87613
6770,312.45,0.87144
6769,312.45,0.87131
6767,312.11,0.87297
6766,311.52,0.87612
6760,311.52,0.87535
6757,310.94,0.87826
6910,314.11,0.8801
6911,314.11,0.88023
6907,314.11,0.87972
6899,313.28,0.88335
6900,313.28,0.88348
6894,312.69,0.88602
6898,312.69,0.88653
6899,314.11,0.8787
6897,313.52,0.88173
6771,313.04,0.86831
6764,311.87,0.87394
6775,312.11,0.874
6764,312.11,0.87258
6768,312.11,0.87309
6759,310.35,0.88184
6756,310.94,0.87813
7671,340.35,0.83217
7649,338.59,0.83841
7633,340.25,0.82853
6767,315.42,0.85472
6795,316.25,0.85377
6820,316.01,0.85822
6551,310.49,0.85392
6582,311.08,0.85473
6609,310.84,0.85958
6631,310.84,0.86244
6506,308.84,0.85717
6535,309.18,0.85909
6555,309.18,0.86171
6574,309.76,0.86095
6608,311.18,0.85755
6482,307.42,0.86189
6496,308.01,0.86047
6517,308.84,0.85862
6540,308.59,0.86301
6548,307.18,0.87204
6420,306.01,0.86155
6441,304.59,0.87242
6445,304.59,0.87296
6463,305.42,0.87065
6480,304.59,0.8777
6491,306.35,0.86913
6506,304.59,0.88122
6516,306.59,0.8711
6524,305.18,0.88027
6678,307.76,0.88597
6694,308.35,0.88472
6702,309.18,0.88104
6717,309.76,0.87967
6732,308.35,0.88974
6735,308.35,0.89014
6735,308.35,0.89014
6601,307.52,0.87714
6617,306.35,0.886
6615,306.94,0.88236
6618,308.11,0.87606
6491,304.59,0.87919
6482,305.18,0.8746
6611,307.18,0.88043
6612,307.76,0.87721
6609,307.18,0.88016
6481,307.42,0.86176
6471,306.01,0.8684
6587,305.76,0.88537
6578,307.52,0.87408
6572,307.52,0.87328
6423,304.94,0.86802
6429,305.18,0.86745
6555,308.11,0.86772
7551,336.49,0.83804
6552,305.76,0.88066
6541,305.18,0.88256
6526,305.18,0.88054
6661,307.76,0.88372
6510,305.18,0.87838
6491,304.35,0.88059
6634,307.76,0.88013
6723,310.11,0.87851
6703,310.69,0.8726
6664,307.76,0.88411
6649,307.76,0.88212
6637,306.59,0.88727
6742,309.76,0.88295
7669,340.01,0.83363
7639,339.42,0.83324
7629,339.42,0.83215
6360,312.84,0.81665
6375,313.42,0.81552
6232,313.18,0.79846
6237,312.25,0.80386
6410,314.01,0.81694
6419,315.76,0.809
6276,313.42,0.80285
6286,314.59,0.79815
6444,314.59,0.81822
6453,314.59,0.81936
6465,316.59,0.81054
