Area,Perimetro,Metrica
7146,326.69,0.84138
7155,330.94,0.82098
7166,324.94,0.85289
7192,324.69,0.85726
7218,327.52,0.84556
7245,327.28,0.84999
7274,326.69,0.85645
7296,328.69,0.84862
7332,328.69,0.85281
7367,327.52,0.86302
7403,330.21,0.85318
7439,327.87,0.86963
7469,329.28,0.86565
7611,334.45,0.85504
7564,332.21,0.86127
7550,333.87,0.85117
7552,333.42,0.85366
7532,336.35,0.83664
7519,336.59,0.83399
7498,333.76,0.84581
7495,338.84,0.82036
7471,329.52,0.86461
7461,333.52,0.84287
7458,331.76,0.85148
7444,332.69,0.84514
7462,342.94,0.79733
7452,338.94,0.81517
7436,333.87,0.83832
7438,330.69,0.8547
7433,331.87,0.84811
7445,331.62,0.85072
7459,343.28,0.79542
7444,331.62,0.85061
7416,331.04,0.85041
7421,329.87,0.85704
7417,329.62,0.85784
7445,334.45,0.83639
7284,329.87,0.84122
7282,328.45,0.84824
7277,327.04,0.85501
7264,326.45,0.85655
7252,324.45,0.86571
7255,325.04,0.86294
7260,326.45,0.85607
7125,321.87,0.86427
7298,328.11,0.85189
7141,321.04,0.87068
7323,328.69,0.85176
7186,322.45,0.8685
7205,322.69,0.86949
7228,323.52,0.8678
7248,324.69,0.86393
7272,326.69,0.85622
7289,327.52,0.85388
7331,329.18,0.85018
7368,328.94,0.85573
7434,329.76,0.85906
7480,338.01,0.82273
7515,338.01,0.82658
7539,332.25,0.85821
7575,334.35,0.85151
7825,342.84,0.83661
7779,348.94,0.80286
7757,343.42,0.82651
7557,336.25,0.83991
7527,344.84,0.79544
7485,337.76,0.82447
7451,333.42,0.84224
7415,335.42,0.82821
7406,336.35,0.82264
7255,337.18,0.80191
7232,338.59,0.79271
7209,335.18,0.80637
7206,332.84,0.81742
7184,331.18,0.8231
7138,327.18,0.83795
7115,325.66,0.84303
7130,336.01,0.7936
7127,338.01,0.78391
7110,332.01,0.81056
7119,328.94,0.82681
7121,333.28,0.80563
7140,332.35,0.8123
6504,310.84,0.84592
6518,315.42,0.82327
6368,310.59,0.82953
6371,309.52,0.83567
6384,307.76,0.84697
6413,308.94,0.84437
6432,309.66,0.8429
6462,316.25,0.81193
6455,308.01,0.85504
6479,314.84,0.82139
6166,305.52,0.8301
6489,313.42,0.8301
6490,313.76,0.82841
6497,312.84,0.83424
6377,312.94,0.8183
6372,310.11,0.83265
6387,311.52,0.82705
6410,318.01,0.79652
6710,318.35,0.832
6709,317.18,0.83803
6402,315.52,0.8081
6389,310.94,0.83043
6548,314.94,0.82961
5932,304.35,0.80475
7000,323.66,0.83969
6846,327.42,0.80248
6846,325.52,0.81187
6850,323.66,0.8217
6044,300.94,0.83866
6865,328.01,0.80183
7034,326.35,0.82994
6573,318.35,0.81501
6715,320.01,0.82402
6048,304.94,0.81734
6553,317.66,0.81604
6581,320.84,0.80341
6723,322.84,0.81061
6705,320.59,0.81979
6716,320.84,0.81989
6852,318.59,0.84831
6675,314.01,0.85071
6688,318.59,0.82801
6991,324.01,0.83684
6965,321.42,0.84719
6964,319.42,0.85771
6742,320.59,0.82431
6849,315.66,0.86375
6060,306.84,0.80886
6035,305.52,0.81246
6025,305.87,0.8093
6164,303.76,0.83946
6034,307.76,0.80053
6053,300.35,0.84319
6044,301.52,0.8354
6053,300.35,0.84319
6050,300.11,0.84413
6061,304.94,0.8191
6055,306.01,0.81257
6060,307.08,0.80758
6029,307.76,0.79987
6045,305.52,0.81381
6044,305.87,0.81185
6036,313.18,0.77335
6021,305.76,0.80929
6004,304.01,0.81636
6115,307.76,0.81128
5993,307.18,0.79813
5976,302.11,0.82281
6004,301.76,0.82854
6173,310.84,0.80287
6273,311.08,0.8146
6356,312.94,0.81561
6144,314.84,0.77892
6129,308.35,0.81005
6081,304.69,0.82311
6082,307.28,0.80945
6071,307.18,0.80851
6058,308.35,0.80066
6164,305.76,0.82851
5984,302.94,0.81941
6857,322.11,0.8305
