R,G,B
255,252,225
255,245,205
255,240,187
255,236,169
254,232,159
252,232,161
255,233,165
255,228,159
255,232,161
253,230,160
250,230,157
250,232,156
248,230,154
252,230,157
251,227,155
254,231,161
250,229,164
250,233,177
255,243,200
255,252,223
255,252,221
247,241,205
246,237,198
251,238,193
248,233,176
247,229,163
250,232,158
253,234,155
255,238,161
255,237,158
251,228,150
253,232,153
253,234,157
251,234,156
251,234,154
253,235,153
255,234,151
252,229,149
254,232,156
245,225,154
252,236,174
244,229,174
249,232,186
244,230,193
248,239,210
255,249,230
255,251,230
255,246,207
251,240,186
250,240,171
247,235,159
247,234,155
245,233,151
243,231,145
249,238,149
253,242,153
249,235,146
254,238,143
251,235,140
248,233,138
252,239,145
253,239,150
250,234,147
251,230,147
251,230,141
249,227,128
246,224,125
249,228,139
252,234,152
247,229,153
242,224,148
250,233,155
247,229,153
252,234,168
253,236,182
252,237,196
253,242,212
255,248,222
255,242,208
253,239,192
250,235,170
248,231,153
253,236,146
246,230,134
250,234,138
254,240,141
249,237,137
249,237,139
249,239,142
247,234,138
254,239,138
249,235,130
249,238,133
250,241,138
250,237,141
248,233,140
255,235,144
255,234,138
251,230,123
251,230,123
248,228,131
255,237,146
248,227,138
247,226,135
255,237,142
253,234,139
252,228,138
249,226,146
247,226,159
250,233,181
253,239,200
251,242,213
252,247,225
255,247,219
252,242,193
249,238,176
249,234,167
252,234,160
252,231,148
249,228,137
255,238,143
254,231,137
255,234,143
255,236,143
250,232,134
247,231,133
248,234,137
245,231,134
247,234,130
246,233,128
251,239,131
248,235,131
252,236,140
250,231,136
252,233,130
255,234,127
255,238,133
255,242,139
255,231,131
252,227,127
255,233,133
252,227,126
252,232,133
251,231,134
248,224,124
251,225,130
254,228,143
255,231,159
250,230,171
243,227,178
245,232,190
254,243,211
255,248,229
255,249,220
255,239,203
252,235,183
249,232,160
250,234,149
254,236,152
255,237,150
253,232,141
247,227,132
254,232,133
255,234,135
255,235,142
253,232,139
248,228,129
251,232,130
254,234,135
248,230,130
248,230,128
252,237,134
254,239,136
243,228,127
255,236,141
250,228,129
243,222,115
243,222,113
249,230,127
255,241,139
255,232,132
255,229,130
255,227,125
252,227,124
249,230,128
251,232,129
251,228,122
253,228,125
253,227,132
255,229,144
255,232,154
253,230,160
250,228,168
249,229,178
251,233,195
253,238,209
255,245,223
255,250,229
255,244,202
254,239,180
252,232,161
252,229,149
250,229,136
250,229,136
251,231,145
254,233,152
253,233,147
251,232,140
248,230,130
247,230,126
250,231,129
255,234,133
254,232,130
251,228,124
251,228,122
255,232,128
255,234,136
255,240,146
255,242,150
243,224,130
251,231,134
249,227,126
248,223,122
246,221,120
248,224,124
255,233,134
255,233,137
255,238,145
248,221,130
255,231,135
249,230,125
248,230,120
249,228,121
252,228,128
252,227,135
254,227,138
255,229,132
254,228,133
254,226,142
255,228,155
251,223,160
250,225,171
250,230,180
252,237,198
255,244,222
255,249,218
254,242,192
249,235,164
250,230,144
252,227,134
255,230,130
255,232,130
252,230,129
248,227,134
248,228,141
249,231,145
250,233,145
247,231,135
252,237,134
254,237,131
252,233,128
253,231,129
253,229,129
252,227,126
252,227,126
251,225,130
255,230,138
255,242,152
247,226,133
250,228,129
252,229,127
255,232,131
249,225,119
253,230,118
254,232,120
255,232,128
255,234,135
255,235,145
255,238,144
251,231,119
246,227,109
246,226,113
248,227,122
251,226,133
253,227,132
251,225,115
245,217,107
248,216,117
255,222,133
255,225,144
251,221,148
247,220,151
244,222,164
248,231,188
254,240,213
255,247,235
255,250,211
251,238,168
246,231,140
247,228,126
248,226,117
249,225,115
251,227,117
255,232,128
255,237,132
253,235,125
249,232,128
253,236,146
255,242,158
254,238,151
251,235,140
254,240,131
254,237,129
250,231,136
251,230,141
251,227,137
251,228,135
244,221,127
251,227,131
253,229,133
255,231,135
255,232,134
255,238,136
250,226,116
253,229,107
250,229,88
250,229,88
253,234,106
255,235,122
255,233,134
255,240,139
248,228,107
250,229,102
252,232,111
255,235,123
255,230,129
251,226,125
249,224,108
254,227,110
255,225,117
