R,G,B
229,241,255
215,234,249
213,236,254
210,237,255
209,236,255
214,240,255
224,245,255
229,252,255
219,243,255
228,246,255
233,251,253
217,239,252
207,229,250
207,224,250
208,223,254
210,223,255
213,223,255
215,228,255
184,200,234
161,182,213
157,182,212
153,182,214
152,182,218
166,191,232
184,203,243
219,233,255
221,233,255
222,239,255
214,236,255
189,215,248
169,198,232
184,211,240
211,238,255
213,241,255
225,247,255
225,245,255
190,214,242
147,173,200
113,138,169
105,124,164
121,134,179
109,115,167
126,132,190
134,150,210
141,157,216
136,146,199
143,151,200
141,153,201
142,154,206
142,148,210
143,147,210
146,151,209
148,161,216
145,170,227
136,164,227
136,160,234
132,159,230
124,159,215
128,169,213
131,179,215
161,204,238
211,241,255
223,246,255
221,241,255
230,248,255
226,244,255
226,242,255
230,247,255
232,249,255
191,214,246
147,168,211
119,140,185
111,130,173
124,138,185
122,134,184
121,128,183
112,114,175
138,142,206
139,152,220
134,148,213
132,136,197
139,140,196
136,139,190
129,129,183
139,127,191
132,115,185
109,98,167
106,106,176
117,134,203
132,154,227
133,148,231
132,149,229
123,152,220
102,138,196
94,135,189
108,145,197
123,155,206
140,166,215
146,174,213
141,165,203
141,158,201
152,167,208
156,175,208
185,205,229
229,240,255
208,229,255
203,229,255
206,228,252
206,226,250
208,232,255
214,238,255
233,249,255
219,242,255
215,244,255
221,250,255
226,246,255
216,235,250
212,228,243
216,223,233
217,221,232
215,220,242
215,220,250
219,225,255
184,196,238
149,173,219
139,168,212
140,166,203
140,166,201
150,175,216
165,188,230
208,226,255
214,229,255
222,234,255
218,232,255
197,215,253
173,198,239
165,200,232
176,212,236
212,241,255
227,247,255
200,232,253
160,195,223
123,153,187
114,135,166
127,133,157
121,123,148
109,114,154
120,127,179
140,148,210
140,151,217
136,154,218
130,149,207
133,152,195
131,144,186
140,147,199
137,139,196
128,133,191
127,136,191
140,158,208
142,161,217
140,154,225
139,155,230
131,159,222
132,168,220
140,177,222
166,198,237
217,240,255
223,239,255
