index,Area,Perimetro,Metrica,Fruta
0,6051,436.43,0.39921,Cantaloupe
1,6048,425.61,0.41957,Cantaloupe
2,5910,430.43,0.40085,Cantaloupe
3,5880,415.46,0.42808,Cantaloupe
4,5990,448.09,0.37489,Cantaloupe
5,5843,424.78,0.40693,Cantaloupe
6,5852,423.36,0.41029,Cantaloupe
7,5897,429.12,0.40242,Cantaloupe
8,5842,437.36,0.38379,Cantaloupe
9,5840,425.46,0.40541,Cantaloupe
10,5786,423.12,0.40613,Cantaloupe
11,5794,422.19,0.40848,Cantaloupe
12,5779,426.19,0.39981,Cantaloupe
13,5759,427.95,0.39516,Cantaloupe
14,5804,440.19,0.3764,Cantaloupe
15,5795,434.88,0.38506,Cantaloupe
16,5749,438.78,0.37525,Cantaloupe
17,5787,432.29,0.38914,Cantaloupe
18,5815,433.26,0.38928,Cantaloupe
19,5782,436.43,0.38146,Cantaloupe
20,5702,432.19,0.38361,Cantaloupe
21,5712,455.12,0.34653,Cantaloupe
22,5854,449.36,0.36431,Cantaloupe
23,5853,443.95,0.37318,Cantaloupe
24,5779,406.39,0.43972,Cantaloupe
25,5826,439.36,0.37926,Cantaloupe
26,5817,445.95,0.36757,Cantaloupe
27,5902,421.12,0.41821,Cantaloupe
28,5713,438.78,0.3729,Cantaloupe
29,5824,422.39,0.4102,Cantaloupe
30,5739,404.98,0.43973,Cantaloupe
31,5784,440.78,0.37411,Cantaloupe
32,5718,424.15,0.39941,Cantaloupe
33,5806,422.05,0.4096,Cantaloupe
34,5731,429.12,0.3911,Cantaloupe
35,5676,405.71,0.43334,Cantaloupe
36,5744,441.71,0.36996,Cantaloupe
37,5731,428.63,0.39198,Cantaloupe
38,5714,413.56,0.41982,Cantaloupe
39,5768,408.39,0.43459,Cantaloupe
40,5711,395.56,0.45866,Cantaloupe
41,5862,412.98,0.43192,Cantaloupe
42,5846,422.05,0.41242,Cantaloupe
43,5812,422.88,0.40842,Cantaloupe
44,5824,415.46,0.424,Cantaloupe
45,5864,418.88,0.41998,Cantaloupe
46,5854,409.22,0.43929,Cantaloupe
47,5847,418.29,0.41994,Cantaloupe
48,5822,424.29,0.4064,Cantaloupe
49,5722,423.95,0.40007,Cantaloupe
50,5765,419.95,0.41079,Cantaloupe
51,5837,425.36,0.4054,Cantaloupe
52,5802,447.36,0.36431,Cantaloupe
53,5751,409.71,0.43054,Cantaloupe
54,5809,404.98,0.44509,Cantaloupe
55,5787,414.63,0.42299,Cantaloupe
56,5791,411.56,0.42963,Cantaloupe
57,5778,407.22,0.43785,Cantaloupe
58,5299,382.98,0.454,Cantaloupe
59,6056,416.05,0.43965,Cantaloupe
60,5988,398.98,0.47271,Cantaloupe
61,5962,411.71,0.44201,Cantaloupe
62,5976,406.05,0.45547,Cantaloupe
63,5959,406.53,0.4531,Cantaloupe
64,5993,436.78,0.39476,Cantaloupe
65,6055,416.88,0.43783,Cantaloupe
66,6006,407.56,0.45436,Cantaloupe
67,6020,428.88,0.41128,Cantaloupe
68,6066,420.53,0.43103,Cantaloupe
69,6086,411.22,0.45226,Cantaloupe
